time_sec,value
0.078,0
0.199,0
0.270,0
0.341,0
0.434,0
0.504,0
0.572,0
0.636,0
0.702,0
0.765,0
0.844,0
0.929,0
0.991,0
1.111,0
1.201,0
1.269,0
1.348,0
1.474,0
1.535,0
1.623,0
1.730,0
1.821,0
1.885,0
1.941,0
2.028,0
2.104,0
2.199,0
2.287,0
2.436,0
2.510,0
2.656,0
2.746,0
2.870,0
2.940,0
3.026,0
3.113,0
3.201,0
3.474,0
3.714,0
3.791,0
3.856,0
3.925,0
4.157,0
4.282,0
4.346,0
4.436,0
4.508,0
4.590,0
4.677,0
4.768,0
4.825,0
4.923,0
4.985,0
5.074,0
5.164,0
5.255,0
5.340,0
5.432,0
5.515,0
5.609,0
5.690,0
5.753,0
5.819,0
5.896,0
5.966,0
6.035,0
6.106,0
6.200,0
6.279,131
6.345,158
6.420,16
6.500,80
6.797,0
7.408,0
7.986,400
8.637,0
9.009,557
9.174,540
9.307,435
9.415,378
9.532,341
9.635,753
9.723,720
9.826,912
9.931,1265
10.038,1500
10.135,1708
10.336,1557
10.406,1712
10.539,1216
10.638,1851
11.326,1397
11.466,1213
11.603,627
12.331,0
12.669,64
12.774,12
12.871,0
12.980,13
13.061,0
13.129,0
13.266,0
13.337,0
13.395,0
13.485,0
13.580,0
13.680,0
13.800,0
13.931,0
13.988,0
14.073,0
14.147,0
14.221,0
14.304,11
14.379,222
14.454,226
14.570,156
14.635,159
14.706,377
14.786,257
14.888,272
14.962,295
15.048,205
15.149,283
15.231,539
15.318,162
15.402,240
15.474,112
15.568,223
15.639,240
15.833,336
16.189,1987
16.267,1265
16.357,1580
16.440,1535
16.498,2275
16.806,2432
16.879,2138
16.957,2304
17.085,2228
17.168,2539
17.289,2463
17.376,1648
17.511,1954
17.616,1248
17.760,388
17.852,87
17.923,0
17.993,0
18.096,0
18.179,2
18.260,0
18.378,0
18.519,23
18.586,0
18.715,49
18.850,0
18.991,0
19.492,0
19.630,0
19.708,0
19.811,0
19.895,0
19.975,0
20.060,0
20.162,0
20.264,0
20.359,0
20.437,0
20.568,0
20.688,0
20.796,0
20.901,0
20.967,0
21.267,0
21.341,0
21.405,0
21.519,0
21.677,0
21.754,0
21.827,0
21.927,0
22.027,0
22.096,0
22.213,0
22.291,0
22.367,0
22.471,0
22.535,0
22.615,0
22.678,0
22.758,0
22.842,0
22.937,0
23.023,0
23.096,0
23.154,0
23.246,0
23.322,0
23.393,0
23.497,0
23.554,0
23.629,0
23.709,0
23.782,0
23.845,0
23.930,0
24.002,0
24.134,101
24.211,0
24.294,0
24.364,0
24.445,0
24.522,0
24.602,0
24.689,0
24.780,0
24.892,0
24.959,0
25.031,0
25.101,0
25.407,0
25.470,0
25.545,0
25.612,0
25.691,0
25.752,0
25.820,0
25.900,0
25.970,0
26.101,0
26.173,0
26.226,0
26.303,0
26.381,0
26.463,0
26.536,0
26.697,0
26.831,0
26.927,0
27.042,0
27.108,0
27.240,9
27.355,0
27.478,73
27.586,81
27.723,0
27.794,0
27.893,0
27.982,0
28.075,0
28.444,0
28.546,0
28.629,0
28.698,0
28.771,0
28.837,0
28.918,0
28.986,0
29.061,0
29.158,0
29.249,0
29.328,0
29.414,0
29.487,0
29.590,0
29.660,0
29.753,0
30.142,0
30.524,0
30.591,0
30.647,0
30.735,29
30.838,0
30.950,0
31.019,0
31.105,0
31.191,0
31.276,0
31.349,0
31.441,0
31.504,0
31.616,0
31.685,0
31.796,0
31.889,0
31.942,0
32.003,0
32.060,0
32.306,0
32.385,0
32.572,0
32.651,0
32.714,0
32.781,0
32.869,41
32.932,161
33.009,295
33.084,583
33.185,711
33.254,755
33.340,614
33.409,877
33.507,1383
33.620,1511
33.678,1579
33.826,1185
33.908,1872
33.987,1766
34.063,2024
34.446,1812
35.059,2443
35.674,1623
36.231,1106
36.345,1590
36.463,1263
36.547,933
36.618,1226
36.764,1280
36.905,963
37.020,839
37.114,783
37.271,1423
37.365,1934
37.693,1517
37.780,1905
37.857,2480
37.952,1780
38.017,2080
38.132,1647
38.212,1623
38.332,1961
38.406,3414
38.494,2022
38.610,3280
38.692,2833
38.799,2370
38.896,2276
38.971,2021
39.121,2747
39.220,2067
39.295,2385
39.377,1940
39.485,2335
39.568,2165
39.662,2587
39.739,2176
39.845,1614
39.936,1412
40.009,1306
40.116,1841
40.209,1823
40.286,2172
40.372,1559
40.464,2526
40.761,1729
40.834,1391
40.910,2243
40.986,2794
41.411,2534
42.225,1619
43.046,1975
43.659,1571
44.232,1828
44.345,901
44.467,1109
44.607,1293
44.699,2112
45.095,1775
45.272,1808
45.374,1515
45.447,1827
45.515,1450
45.580,1558
45.680,1209
45.758,1232
45.867,1529
45.964,2107
46.072,1453
46.237,1511
46.318,1521
46.436,1413
46.640,2285
46.721,1744
46.800,1580
46.895,2519
46.966,2495
47.053,1985
47.109,1687
47.185,1389
47.271,2176
47.392,2291
47.483,1765
47.558,1459
47.729,2737
47.846,1767
47.935,2064
48.013,2639
48.091,2176
48.170,2420
48.236,2647
48.292,2655
48.351,2137
48.463,2976
48.532,1680
48.612,1526
48.725,2369
48.829,2864
49.195,2229
49.370,2288
49.469,2494
49.571,2238
49.641,1652
49.753,1825
49.842,2512
49.931,1862
50.012,2039
50.086,1728
50.169,1904
50.397,2211
50.489,2451
50.551,1872
50.639,1471
50.749,1904
50.825,1852
50.892,2343
50.960,2130
51.050,1335
51.118,973
51.191,1264
51.285,1648
51.362,1649
51.444,2207
51.537,1693
51.717,1878
51.784,2228
51.855,1761
51.927,2278
51.990,1788
52.111,1333
52.182,1410
52.317,1086
52.397,1165
52.580,1054
52.661,707
52.745,844
52.822,910
52.923,1724
53.002,1255
53.087,1040
53.161,951
53.267,1038
53.447,959
53.518,1087
53.656,2469
53.736,1625
53.825,1572
53.907,1629
54.037,2241
54.109,1533
54.450,2946
54.525,2151
54.584,1831
54.699,2428
54.790,2071
54.888,1709
54.965,1805
55.043,1857
55.118,1797
55.220,1456
55.311,2061
55.394,1911
55.668,1259
55.869,1533
55.944,1493
56.014,1936
56.074,1175
56.150,1268
56.243,1495
56.341,1700
56.420,1694
56.493,1778
56.602,1795
56.769,2864
56.847,2109
56.958,2271
57.034,2320
57.114,1833
57.183,1350
57.245,1136
57.336,761
57.438,560
57.510,809
57.583,615
57.703,911
57.775,784
57.838,804
57.901,894
57.958,537
58.043,624
58.106,811
58.179,561
58.248,709
58.312,768
58.383,754
58.446,1166
58.534,1287
58.601,1289
58.720,1763
58.815,1488
58.889,2673
58.961,1812
59.036,1598
59.125,979
59.190,511
59.253,332
59.333,27
59.394,0
59.467,16
59.533,0
59.591,7
59.676,181
59.743,48
59.825,0
59.902,240
60.013,0
60.078,0
60.142,0
60.264,0
60.331,0
60.429,0
60.523,0
60.607,0
60.725,0
60.828,0
60.944,0
61.787,0
62.509,0
63.327,0
63.839,0
63.904,0
64.050,0
64.145,0
64.218,0
64.314,0
64.373,0
64.472,0
64.560,0
64.649,0
64.712,0
64.783,0
64.911,0
64.982,0
65.075,0
65.160,0
65.227,0
65.326,0
65.386,0
65.449,0
65.510,0
65.596,0
65.665,0
65.757,0
65.889,0
65.940,0
66.030,0
66.099,0
66.167,0
66.265,0
66.351,0
66.431,0
66.515,0
66.602,0
66.684,0
66.795,0
66.872,0
66.934,0
67.165,0
67.246,0
67.331,0
67.394,0
67.516,0
67.635,0
67.742,0
67.823,0
67.881,0
68.017,0
68.094,0
68.173,0
68.278,0
68.377,0
68.488,0
68.570,0
68.692,0
68.758,0
68.850,0
68.975,0
69.073,0
69.372,0
69.440,0
69.511,0
69.612,0
69.684,0
69.742,0
69.835,0
69.909,0
70.005,0
70.068,0
70.145,0
70.280,0
70.340,0
70.472,0
70.571,0
70.703,0
70.795,0
70.896,0
70.978,0
71.071,0
71.151,0
71.222,0
71.288,0
71.386,0
71.487,0
71.602,0
71.709,0
71.830,0
71.920,0
71.977,0
72.079,0
72.188,0
72.264,0
72.352,0
72.426,0
72.489,0
