time_sec,value
0.086,887
0.145,677
0.236,592
0.330,423
0.422,385
0.506,400
0.570,2300
0.641,3737
0.939,996
1.085,688
1.169,3728
1.225,837
1.326,1362
1.394,619
1.454,140
1.560,267
1.638,1717
1.735,1283
1.820,243
1.889,501
1.972,1418
2.047,3735
2.093,3723
2.205,3521
2.266,1239
2.332,869
2.444,865
2.506,637
2.559,863
2.632,335
2.704,511
2.758,775
2.826,958
2.893,847
2.979,775
3.064,977
3.131,938
3.217,891
3.288,815
3.347,705
3.450,646
3.516,583
3.583,563
3.680,604
3.775,831
3.868,1004
3.935,688
4.009,627
4.183,628
4.265,624
4.332,657
4.392,651
4.463,604
4.542,640
4.616,640
4.724,644
4.788,450
4.852,352
4.907,303
4.992,272
5.050,243
5.106,322
5.158,493
5.228,587
5.315,605
5.391,577
5.442,577
5.499,588
5.570,613
5.630,571
5.682,620
5.763,582
5.818,624
5.894,577
6.020,588
6.086,551
6.161,560
6.254,607
6.389,549
6.828,540
7.547,578
8.158,577
8.772,562
9.387,553
20.446,636
21.469,586
22.832,578
22.894,545
22.966,556
23.032,625
23.100,577
23.158,576
23.217,614
23.298,578
23.363,556
23.430,575
23.482,578
23.542,566
23.607,563
23.675,597
23.740,553
23.804,592
23.869,595
23.954,591
24.052,592
24.651,564
24.736,525
24.815,556
24.962,524
25.031,502
25.118,531
25.205,528
25.266,547
25.343,491
25.422,528
25.485,549
25.546,574
25.612,545
25.678,505
25.777,529
26.108,535
26.185,566
26.249,538
26.346,529
26.415,510
26.511,527
26.576,531
26.648,538
26.810,623
27.351,619
27.462,611
27.513,625
27.578,622
27.670,651
27.773,612
27.892,656
27.957,643
28.042,665
28.158,630
28.636,642
28.980,592
29.455,607
30.179,640
30.239,608
30.325,625
30.377,631
30.427,644
30.488,605
30.557,637
30.628,659
30.689,604
30.759,598
30.827,587
30.893,583
30.987,593
31.053,575
31.125,608
31.197,624
31.269,562
31.345,560
31.408,557
31.484,601
31.911,576
32.525,548
33.048,561
33.121,526
33.230,581
33.325,565
33.425,529
33.517,561
33.586,547
33.634,560
33.703,560
33.777,577
33.861,565
33.965,560
34.038,538
34.101,575
34.187,565
34.276,557
34.347,565
34.405,557
34.522,624
34.602,621
34.708,635
34.835,637
34.947,617
35.020,565
35.108,613
35.202,553
35.273,577
35.378,587
35.492,624
35.576,592
35.648,576
35.737,575
35.807,605
35.931,609
36.023,578
36.127,625
36.194,583
36.265,576
36.354,559
36.438,614
36.533,576
36.645,621
36.740,530
36.871,576
36.985,592
38.055,592
38.780,599
39.489,580
40.308,604
40.463,692
40.519,653
40.619,656
40.675,644
40.744,621
40.840,688
40.899,680
40.950,628
41.046,675
41.141,621
41.237,653
41.294,662
41.374,628
41.440,645
41.507,669
41.597,683
41.675,631
41.744,671
41.847,643
41.968,614
42.023,679
42.092,621
42.151,640
42.230,680
42.289,611
42.356,683
42.424,643
42.516,643
42.596,635
42.658,615
42.729,638
42.791,636
42.888,674
42.967,689
43.080,645
43.170,653
43.246,682
43.349,641
43.455,656
43.507,688
43.569,649
43.662,704
43.743,625
43.816,686
43.983,688
44.083,692
44.204,675
44.279,678
44.359,640
44.468,654
44.536,641
44.617,688
44.688,637
44.758,657
44.835,650
44.932,656
45.038,640
45.122,636
45.218,650
45.308,703
45.434,624
45.535,657
45.640,661
45.719,651
45.808,608
45.884,644
45.970,673
46.058,683
46.153,642
46.304,686
46.385,641
47.063,670
47.435,622
48.396,585
48.658,613
48.754,644
48.873,624
48.936,606
49.016,610
49.108,604
49.190,656
49.250,607
49.306,646
49.364,573
49.441,631
49.534,613
49.600,656
49.665,625
49.727,605
49.789,577
49.852,620
49.910,656
49.993,645
50.077,655
50.179,607
50.255,611
50.311,646
50.433,658
50.522,624
50.621,657
50.687,645
50.816,642
50.887,640
50.966,649
51.032,681
51.100,663
51.168,677
51.238,667
51.307,628
51.389,624
51.699,689
51.785,667
51.871,652
52.124,631
52.193,619
52.372,641
52.551,640
52.703,642
52.772,637
52.908,618
52.988,610
53.089,647
53.153,688
53.222,640
53.300,629
53.414,634
53.500,662
53.557,650
53.638,649
53.714,634
53.790,681
53.886,625
54.202,631
54.348,640
54.404,695
54.481,631
54.573,683
54.689,624
54.886,646
55.200,643
55.866,640
56.481,657
56.827,629
57.088,634
57.245,673
57.356,658
57.643,637
58.226,649
58.328,645
58.398,686
58.492,623
58.579,656
58.636,675
58.701,623
58.769,639
58.837,623
58.895,625
58.975,671
59.028,683
59.156,637
59.218,637
59.270,613
